bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06
104Meadow,1,Rent,1699,1970,1720,0,3280,0,0,7330.03,0,0,4265.49,0,0,0,2032.7,1775,1775,1775,1775,1950,1775,1950,0,1391,2259,1950,0,3441,1950,1700
104Meadow,3,REVENUE,1699,1970,1720,0,3280,0,0,7330.03,0,0,4265.49,0,0,0,2032.7,1775,1775,1775,1775,1950,1775,1950,0,1391,2259,1950,0,3441,1950,1700
104Meadow,4,Insurance,0,0,0,0,0,0,0,0,0,0,-1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104Meadow,5,Taxes,0,0,0,0,0,0,0,0,0,0,0,-5750.35,0,0,0,0,0,0,0,0,0,0,0,-6077.19,0,0,0,0,0,0
104Meadow,6,Repair,-275,-840,0,0,-944,-135,0,0,0,0,0,-2500,0,0,0,0,0,0,0,-32.32,0,0,0,0,0,0,0,0,0,0
104Meadow,7,Management,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75
104Meadow,10,Professional Services,0,0,0,0,0,-367,0,0,-29.46,0,0,0,-35,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104Meadow,14,EXPENSES,-350,-915,-75,-75,-1019,-577,-75,-75,-104.46,-75,-1623,-8325.35,-110,-75,-57.5,-75,-75,-75,-75,-107.32,-75,-75,-75,-6152.19,-75,-75,-75,-75,-75,-75
104Meadow,15,NET INCOME,1349,1055,1645,-75,2261,-577,-75,7255.03,-104.46,-75,2642.49,-8325.35,-110,-75,1975.2,1700,1700,1700,1700,1842.68,1700,1875,-75,-4761.19,2184,1875,-75,3366,1875,1625
104Meadow,16,Mortgage Payments,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2,-730.2
104Meadow,19,Owner Draw,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0
104Meadow,20,Security Deposit,0,0,0,0,0,0,0,0,0,0,0,-541.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104Meadow,21,CASHFLOW,3668.29,3993.09,4907.89,4102.69,5633.49,4326.29,3521.09,10045.92,9211.26,8406.06,10318.35,721.3,881.1,75.9,1320.9,2290.7,3260.5,4230.3,5200.1,6312.58,7282.38,8427.18,7621.98,1130.59,2584.39,3729.19,2923.99,5559.79,6704.59,7599.39
108Meadow,1,Rent,1695,1695,1695,0,0,0,0,8775,0,0,3590,1795,0,3503.25,1795,1795,1900,3367.07,0,2373.34,1850,1850,1850,1541,2159,1850,0,3241,1850,1850
108Meadow,3,REVENUE,1695,1695,1695,0,0,0,0,8775,0,0,3590,1795,0,3503.25,1795,1795,1900,3367.07,0,2373.34,1850,1850,1850,1541,2159,1850,0,3241,1850,1850
108Meadow,4,Insurance,0,0,0,0,0,0,0,0,0,0,-1483.42,0,0,0,0,0,0,-1919,0,0,0,0,0,0,0,0,0,0,0,0
