Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,08/01/2024,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Aug 24 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000021437718 EED:240801   IND ID:8028351082-0056              IND NAME:8604 Wagon TRN: 2141437718TC",-843.79,ACH_DEBIT,9976.91,,
CREDIT,07/10/2024,"ORIG CO NAME:OnePlus Realty G       ORIG ID:9001504486 DESC DATE:071024 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926088315745 EED:240710   IND ID:9TRBL2                       IND NAME:Meadow View Homes LLC                                                                                        469-867-9837 TRN: 1928315745TC",2100.00,ACH_CREDIT,10820.70,,
DEBIT,07/01/2024,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Jul 24 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000020542007 EED:240701   IND ID:8028351082-0055              IND NAME:8604 Wagon TRN: 1830542007TC",-843.79,ACH_DEBIT,8720.70,,
CREDIT,06/11/2024,"ORIG CO NAME:OnePlus Realty G       ORIG ID:9001504486 DESC DATE:061124 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926088253633 EED:240611   IND ID:H1HNJ2                       IND NAME:Meadow View Homes LLC                                                                                        469-867-9837 TRN: 1638253633TC",1834.75,ACH_CREDIT,9564.49,,
DEBIT,06/03/2024,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Jun 24 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000023691162 EED:240603   IND ID:8028351082-0054              IND NAME:8604 Wagon TRN: 1553691162TC",-843.79,ACH_DEBIT,7729.74,,
CREDIT,05/09/2024,"ORIG CO NAME:OnePlus Realty G       ORIG ID:9001504486 DESC DATE:050924 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926083967588 EED:240509   IND ID:86JPG2                       IND NAME:Meadow View Homes LLC                                                                                        469-867-9837 TRN: 1303967588TC",2100.00,ACH_CREDIT,8573.53,,
DEBIT,05/01/2024,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:May 24 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000025438667 EED:240501   IND ID:8028351082-0053              IND NAME:8604 Wagon TRN: 1225438667TC",-843.79,ACH_DEBIT,6473.53,,
CREDIT,04/12/2024,"ORIG CO NAME:OnePlus Realty G       ORIG ID:9001504486 DESC DATE:041224 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926089796841 EED:240412   IND ID:93H8F2                       IND NAME:Meadow View Homes LLC                                                                                        469-867-9837 TRN: 1039796841TC",1950.00,ACH_CREDIT,7317.32,,
DEBIT,04/01/2024,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Apr 24 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000023964399 EED:240401   IND ID:8028351082-0052              IND NAME:8604 Wagon TRN: 0923964399TC",-843.79,ACH_DEBIT,5367.32,,
CREDIT,04/01/2024,"ORIG CO NAME:OnePlus Realty G       ORIG ID:9001504486 DESC DATE:040124 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926089482075 EED:240401   IND ID:QTBCD2                       IND NAME:Meadow View Homes LLC                                                                                        469-867-9837 TRN: 0929482075TC",2100.00,ACH_CREDIT,6211.11,,
DEBIT,03/01/2024,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Mar 24 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000029970114 EED:240301   IND ID:8028351082-0051              IND NAME:8604 Wagon TRN: 0619970114TC",-843.79,ACH_DEBIT,4111.11,,
CREDIT,02/13/2024,"ORIG CO NAME:OnePlus Realty G       ORIG ID:9001504486 DESC DATE:021324 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926088814310 EED:240213   IND ID:F6GT92                       IND NAME:Meadow View Homes LLC                                                                                        469-867-9837 TRN: 0448814310TC",2100.00,ACH_CREDIT,4954.90,,
DEBIT,02/01/2024,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Feb 24 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000028298732 EED:240201   IND ID:8028351082-0050              IND NAME:8604 Wagon TRN: 0328298732TC",-843.79,ACH_DEBIT,2854.90,,
CREDIT,01/11/2024,"ORIG CO NAME:OnePlus Realty G       ORIG ID:9001504486 DESC DATE:011124 CO ENTRY DESCR:SIGONFILE SEC:CCD    TRACE#:111926087477007 EED:240111   IND ID:1RS082                       IND NAME:Meadow View Homes LLC                                                                                        469-867-9837 TRN: 0117477007TC",2100.00,ACH_CREDIT,3698.69,,
DEBIT,01/02/2024,"ORIG CO NAME:PENNYMAC               ORIG ID:1262049351 DESC DATE:Jan 24 CO ENTRY DESCR:CASH      SEC:WEB    TRACE#:021000024857837 EED:240102   IND ID:8028351082-0049              IND NAME:8604 Wagon TRN: 0024857837TC",-843.79,ACH_DEBIT,1598.69,,
DEBIT,01/02/2024,"Zelle payment to Trulo Property Management LLC 19155507266",-75.00,QUICKPAY_DEBIT,2442.48,,
DEBIT,12/29/2023,"Online Realtime Transfer to BUSINESS CHECKING ...3314  3314 transaction#: 19431448487 reference#: 9431448487RX 12/29",-6000.00,ACCT_XFER,2517.48,,
DEBIT,12/22/2023,"ORIG CO NAME:DENTON COUNTY, T       ORIG ID:1810661988 DESC DATE:231221 CO ENTRY DESCR:   PAYMENTSEC:WEB    TRACE#:021000025043120 EED:231222   IND ID:   100284939457              IND NAME:DENTON COUNTY, TX TAX                                                                                              INCOMING BATCH TRN: 3565043120TC",-5939.68,ACH_DEBIT,8517.48,,
